video_id,comment
qlZM3McwO1Q,What an incredible victory. I agree the Kenyans should have been celebrated at the end. This was an incredible performance.
qlZM3McwO1Q,❤
qlZM3McwO1Q,“Claudia is an amazonian goddess with a beautiful clam!” - Bruce Wayne
qlZM3McwO1Q,Proud of my motherland Kenya ❤❤❤and Africa.at large
qlZM3McwO1Q,Damn
qlZM3McwO1Q,Kenya you should proud of yr self❤❤❤❤
qlZM3McwO1Q,Well done team Kenya❤
qlZM3McwO1Q,"This channel is racist! Report the channel, it edited the video to favor the white and not show the Kenyans receiving the medal 🥇"
qlZM3McwO1Q,"Congs Kenya, lots of love from Uganda"
qlZM3McwO1Q,"Just WOW Kenya, what a run, what a stamina!"
qlZM3McwO1Q,I'm a south African love kenyans
qlZM3McwO1Q,"Why are the most famous women in the world always reduced to performing in their underwear? Its ridiculous, unnecessary sexual objectification, just stop it."
qlZM3McwO1Q,Nice
qlZM3McwO1Q,Cherono 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🪽
qlZM3McwO1Q,We compete with time Kenyans 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪❤️❤️❤️❤️❤️
qlZM3McwO1Q,Algorithm finally did something right
qlZM3McwO1Q,They even rounded the last athlete
qlZM3McwO1Q,It's shows how weak and how lousy U.S.A. and Australian athletes...Kenyans are black diamonds pearl very good disciplines athletes..well done KENYANS.
qlZM3McwO1Q,"Very shameful of world athletics committee to be controlled by Whites from announcers to the stage controllers highlighting the pace of the Australians over the winning champions who were demonstrably in a league of their own in obliteraterating the records in the event.  Faith Kipyegoni,Obiri and Chirono, despite challenge by the Ethiopian women in middle distance running, continue to dominate the Olympics, the World Championships, and the Diamond League over the same distance to date. Very little was showered on this epic journey for the Africans at this event, except for the likes of Steve Ovettts' of the world begrudgingly acknowledging the marvel of central African women's dominace. It's a shame!!"
qlZM3McwO1Q,Those Kenyan girls made that run look effortless. Absolute poetry in motion. Unbelievable. Congratulations from Canada.
qlZM3McwO1Q,"Kenyans are custom made by God, keep chasing them you will never catch them"
qlZM3McwO1Q,"great , i can t believe"
qlZM3McwO1Q,When was this race held... ?
qlZM3McwO1Q,Kenya to the World. Well done girls 🇰🇪🇰🇪🇰🇪😆🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪
qlZM3McwO1Q,My country is just wow..we love u Cheps
qlZM3McwO1Q,Congratulations 🎉
qlZM3McwO1Q,Congratulations kenya. A good one indeed.
qlZM3McwO1Q,It does not seem like a surprise when Kenyans are great runners congratulations🎉❤
qlZM3McwO1Q,Kipyegon faith my best all day every day but in this race Obiri was outstanding
qlZM3McwO1Q,Obliterate the record that’s the Kenyan women mentality. Am proud to come from a Kenyan woman’s womb proud of you ladies keep blazing those trails !❤
qlZM3McwO1Q,Beautiful. Really epic! ♥♥
qlZM3McwO1Q,Congrats to the legends Kenyan ladies
qlZM3McwO1Q,"Kenyans, we are incredible!"
qlZM3McwO1Q,Can't get enough of this race
qlZM3McwO1Q,I know Kenyan did better than the rest! I support our neighbours Kenya 👏👏👏🇺🇬
qlZM3McwO1Q,❤❤❤  thank u Kenya .from kenya
qlZM3McwO1Q,What happened ??? Wow …this world is not mad right ..where are the Kenyan team not on podium??? Celebrating?????????
qlZM3McwO1Q,They are beautiful ❤
qlZM3McwO1Q,I just ❤ Kenyan ladies very energetic and strategic.Well done to trainers ❤ and God bless Africa. The true nature of God made species.
qlZM3McwO1Q,wonderful stuff
qlZM3McwO1Q,"That's what we are made of.
Congrats my cousins."
qlZM3McwO1Q,"Woooow Kenya,"
qlZM3McwO1Q,"Woooow Kenya,"
qlZM3McwO1Q,🇰🇪🇰🇪🇰🇪 Kenyan
qlZM3McwO1Q,The Americans were very handedly in second...how did they get third?
qlZM3McwO1Q,"Shame on you  *90+ legends*. for your bias . Where are 🇰🇪 Kenyan girls , dominantly winners ?
Do you know what's  FAIR PLAY  in Sports ?
🏅 Girls . Well done 👏"
qlZM3McwO1Q,I didn't watch this to the end the first time. Sometimes people don't know or they know but ignore  bias . Did you show the winners at the end or what did i see?
qlZM3McwO1Q,We are proud of you African Kwenyean girls Zimbabwe is celebrating  this with you🎉🎉🎉🎉🎉🎉
qlZM3McwO1Q,Congratulations our own 🇰🇪🇰🇪🇰🇪
qlZM3McwO1Q,Kenya the best of the best
qlZM3McwO1Q,"Congratulations Kenyan girls, watching surprisingly all the way from Vanuatu 🇻🇺 great performance."
qlZM3McwO1Q,We have the BODY STAR START TO FINISHING. 🙏🏿 🙏🏿 SPIRITUAL..
qlZM3McwO1Q,Congratulations Kenyans  🎊 👏 💐 🥳 🎊 👏
qlZM3McwO1Q,We aREADY KNOWS THE FIRST DEGREES ONLY..💪🏿🙏🏿🌟💯🎭👸🏾👸🏾✨️😱
qlZM3McwO1Q,Faith
qlZM3McwO1Q,Kudos
qlZM3McwO1Q,"HELLEN OBIRI,    MY GOD!!!!"
qlZM3McwO1Q,Really amazing race kenyans fastest running game no one meet this challenge.congrats
qlZM3McwO1Q,Kenya racing against time not people ❤❤
qlZM3McwO1Q,Even the commentators knew Kenya was to win this
qlZM3McwO1Q,Watu wa kasongo hoyeee.
qlZM3McwO1Q,Par Excellence Akways. You go Kenyan women 🎉🎉🎉
qlZM3McwO1Q,Always
qlZM3McwO1Q,That was exciting to watch and the Kenyan girls wow!....that was incredible!
